Provinsi,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Aceh,11,0,19,28,19,19,35,50,62,62
Sumatera Utara,"4,733","4,350","5,287","5,164","4,953","4,847","2,565","1,948","1,163","1,078"
Sumatera Barat,612,590,744,749,751,682,712,830,891,849
Riau,89,117,53,68,84,100,84,92,146,140
Jambi,6,4,15,14,18,27,30,33,30,30
Sumatera Selatan,0,8,35,44,57,56,68,112,133,124
Bengkulu,86,70,140,247,283,283,302,244,215,189
Lampung,"1,091","1,080","1,049","1,034","1,021","1,000",763,420,463,461
Kepulauan Bangka Belitung,0,40,41,151,157,252,277,223,175,161
Kepulauan Riau,3,0,5,5,6,6,7,8,7,7
DKI Jakarta,"1,029","1,133","1,162","1,349","2,053","2,024","2,023","1,897","2,603","2,433"
Jawa Barat,"99,692","87,764","110,005","119,939","118,434","122,505","118,800","115,827","119,287","116,400"
Jawa Tengah,"82,013","75,653","101,288","142,513","141,395","140,520","154,202","138,560","137,434","134,670"
DI Yogyakarta,"2,997","2,876","3,265","3,500","3,520","3,873","3,747","4,003","4,066","4,044"
Jawa Timur,"292,265","289,375","282,364","305,708","293,556","287,196","295,809","273,881","264,905","255,947"
Banten,56,70,44,64,67,68,60,51,22,20
Bali,18,18,0,0,,0,0,0,0,0
Nusa Tenggara Barat,2,0,14,12,6,6,0,0,0,0
Nusa Tenggara Timur,26,34,29,31,30,29,24,45,49,43
Kalimantan Barat,137,14,205,186,167,43,111,64,43,43
Kalimantan Tengah,0,0,0,0,,0,0,0,0,0
Kalimantan Selatan,64,45,77,66,101,183,227,218,345,228
Kalimantan Timur,69,12,68,76,87,91,110,107,117,79
Kalimantan Utara,0,0,3,3,3,2,1,2,1,1
Sulawesi Utara,8,42,8,18,53,66,27,62,102,77
Sulawesi Tengah,0,0,,7,7,10,0,10,10,10
Sulawesi Selatan,770,710,"1,125","1,147","1,101","1,049","1,763","1,696","1,553","1,515"
Sulawesi Tenggara,29,16,30,46,51,37,47,35,13,12
Gorontalo,0,0,0,0,0,5,5,6,7,7
Sulawesi Barat,0,0,0,0,0,0,0,0,0,0
Maluku,0,0,0,0,0,0,0,0,0,0
Maluku Utara,0,0,0,0,0,0,0,0,0,0
Papua Barat,0,0,0,0,0,0,0,0,0,0
Papua Barat Daya,0,0,0,0,0,0,0,0,0,0
Papua,0,0,0,0,20,22,23,17,19,19
Papua Selatan,0,0,0,0,0,0,0,0,0,0
Papua Tengah,0,0,0,0,0,0,0,0,0,0
Papua Pegunungan,3,0,0,0,0,0,0,0,0,0
Indonesia,"485,809","464,021","507,075","582,169","568,000","565,001","581,822","540,441","533,861","518,649"
